anime_id,title,synopsis,era,genres_list,tags
51805,Ginga Eiyuu Densetsu: Die Neue These - Sakubou,yang wenli successfully capture iserlohn fortress free planet alliance grows bolder militaristic ambition recent incursion galactic empire territory possession perfect beachhead alliance able deal significant damage empire however reinhard von lohengramm intention allow free planet alliance gain foothold adamant carry best friend siegfried kircheis dearest wish one unite universe widescale military clash continue opportunist adrian rubinsky fezzans ambitious leader attempt take advantage personal goal,2020's,"['adult cast', 'drama', 'military', 'sci-fi', 'space']","yang wenli successfully capture iserlohn fortress free planet alliance grows bolder militaristic ambition recent incursion galactic empire territory possession perfect beachhead alliance able deal significant damage empire however reinhard von lohengramm intention allow free planet alliance gain foothold adamant carry best friend siegfried kircheis dearest wish one unite universe widescale military clash continue opportunist adrian rubinsky fezzans ambitious leader attempt take advantage personal goal adult cast, drama, military, sci-fi, space 2020's"
38201,Osomatsu-san Movie,embarrass high school class reunion successful classmates proper job relationship even child matsuno sextuplet return home sulk status neets spend night drinking away sorrow eventually fall unconscious awaken strange world memory center around one brother biggest high school regret sextuplet navigate memory world encounter embarrass past self high school well try uncover whose regret great enough trap strange world make way back reality however theyre run time world memory unstable sextuplet may lose chance make thing right theyre slow,2010's,"['comedy', 'gag humor', 'parody']","embarrass high school class reunion successful classmates proper job relationship even child matsuno sextuplet return home sulk status neets spend night drinking away sorrow eventually fall unconscious awaken strange world memory center around one brother biggest high school regret sextuplet navigate memory world encounter embarrass past self high school well try uncover whose regret great enough trap strange world make way back reality however theyre run time world memory unstable sextuplet may lose chance make thing right theyre slow comedy, gag humor, parody 2010's"
46654,IDOLiSH7 Third Beat! Part 2,idolish successful ever one smile new threat take stage debut idol źooļ manage nefarious entertainment executive ryou tsukumo stop nothing get way resort kind underhanded tactic bring rival trigger image already ruin scandal idolish revale head fateor worse meanwhile zero legendary idol disappear ago haunt present leave behind manager seem contact tsukumo scheme zero songwriter reveals letter miss idolish find ally revale thwart źooļs plan try make sense zero colleague action may impossible everyone emerge unscathed,2020's,"['drama', 'idols', 'male', 'music']","idolish successful ever one smile new threat take stage debut idol źooļ manage nefarious entertainment executive ryou tsukumo stop nothing get way resort kind underhanded tactic bring rival trigger image already ruin scandal idolish revale head fateor worse meanwhile zero legendary idol disappear ago haunt present leave behind manager seem contact tsukumo scheme zero songwriter reveals letter miss idolish find ally revale thwart źooļs plan try make sense zero colleague action may impossible everyone emerge unscathed drama, idols, male, music 2020's"
23249,Uchuu Senkan Yamato 2199: Hoshimeguru Hakobune,ad yamato try leave behind large magellanic cloud galaxy receive cosmo reverse system destination iscandar however suddenly encounter mysterious edge large magellanic cloud crew find call gatlantis leader gutaba expeditionary force commander call goran dagaamu thunder commander demand yamato hand yamato want hurry earth escape fray however yamato attack devastate beam weapon call flame direct attack cannon transcend space yamato able retreat end get lose find strangely color irregular dimension crew decide turn engine ship explore mysterious planet order collect information kodai kiryū sawamura niimi aihara land planet saw arrived ship suppose dagaamu chase trace yamatos warp also reach strangely colored space planet yamato land fact dagaamu look along,2010's,"['action', 'adult cast', 'award winning', 'drama', 'military', 'sci-fi', 'space']","ad yamato try leave behind large magellanic cloud galaxy receive cosmo reverse system destination iscandar however suddenly encounter mysterious edge large magellanic cloud crew find call gatlantis leader gutaba expeditionary force commander call goran dagaamu thunder commander demand yamato hand yamato want hurry earth escape fray however yamato attack devastate beam weapon call flame direct attack cannon transcend space yamato able retreat end get lose find strangely color irregular dimension crew decide turn engine ship explore mysterious planet order collect information kodai kiryū sawamura niimi aihara land planet saw arrived ship suppose dagaamu chase trace yamatos warp also reach strangely colored space planet yamato land fact dagaamu look along action, adult cast, award winning, drama, military, sci-fi, space 2010's"
40111,Nezha Zhi Mo Tong Jiang Shi,heavenly object know chaos pearl element extract spirit pearl demon orb attempt suppress power lord heaven send spirit pearl earth reincarnate ne zha third son li jing demon orb schedule destroyed lightning strike however conspiracy dragon king steal spirit pearl son ne zha instead reincarnate demon orb way remove cursed effect demon orb ne zha raise belief become great demon hunter spirit pearl destine fight chaotic mischievous nature ne zha decide whether accept evil fate rebel prove worthy future parent foretell,2010's,"['action', 'comedy', 'drama', 'fantasy', 'historical']","heavenly object know chaos pearl element extract spirit pearl demon orb attempt suppress power lord heaven send spirit pearl earth reincarnate ne zha third son li jing demon orb schedule destroyed lightning strike however conspiracy dragon king steal spirit pearl son ne zha instead reincarnate demon orb way remove cursed effect demon orb ne zha raise belief become great demon hunter spirit pearl destine fight chaotic mischievous nature ne zha decide whether accept evil fate rebel prove worthy future parent foretell action, comedy, drama, fantasy, historical 2010's"
1279,Taiyou no Ko Esteban,esteban age foundling barcelona mysterious power order sun appear call child sun upon death adoptive father esteban learn rescue baby sink ship ocean mysterious medallion esteban wear since ever trace somewhere new world probably come mysterious city gold esteban leaf spain find parent find way meet zia inca girl kidnap people back exactly medallion later join tao young galapagos robinson last descendant empire heva empire say built city gold follow coyolite shin star represent medallion child travel unexplored new world search city gold believe way lead lose parent,1980's,"['adventure', 'historical', 'sci-fi']","esteban age foundling barcelona mysterious power order sun appear call child sun upon death adoptive father esteban learn rescue baby sink ship ocean mysterious medallion esteban wear since ever trace somewhere new world probably come mysterious city gold esteban leaf spain find parent find way meet zia inca girl kidnap people back exactly medallion later join tao young galapagos robinson last descendant empire heva empire say built city gold follow coyolite shin star represent medallion child travel unexplored new world search city gold believe way lead lose parent adventure, historical, sci-fi 1980's"
53540,Meitantei Conan Movie 26: Kurogane no Submarine,time location set sea near hachijojima island tokyo engineer around world gather fullscale operation pacific buoy offshore facility connect security camera own worldwide police force test certain new technology base face recognition system underway meanwhile conan detective boy visit hachijojima sonokos invitation receive phone call subaru okiya inform europol employee murder germany black organization jin conan disquiet sneak facility find female engineer kidnap black organization furthermore usb drive contain certain information possession end hand organization black shadow also creep ai haibara,2020's,"['action', 'detective', 'mystery', 'shounen']","time location set sea near hachijojima island tokyo engineer around world gather fullscale operation pacific buoy offshore facility connect security camera own worldwide police force test certain new technology base face recognition system underway meanwhile conan detective boy visit hachijojima sonokos invitation receive phone call subaru okiya inform europol employee murder germany black organization jin conan disquiet sneak facility find female engineer kidnap black organization furthermore usb drive contain certain information possession end hand organization black shadow also creep ai haibara action, detective, mystery, shounen 2020's"
9088,Saiyuuki Gaiden,former life genjyo sanzo crew misfit begin west god godly didnt make act divine goku fly murderous rage see best friend die heavens enough want dead konzen douji field marshal tenpou general kenren willing anything protect goku even mean turn heaven,2010's,"['action', 'adventure', 'drama', 'fantasy', 'mythology', 'shounen']","former life genjyo sanzo crew misfit begin west god godly didnt make act divine goku fly murderous rage see best friend die heavens enough want dead konzen douji field marshal tenpou general kenren willing anything protect goku even mean turn heaven action, adventure, drama, fantasy, mythology, shounen 2010's"
2753,Ushiro no Shoumen Daare,kayoko young girl start first grade shes bite crybaby secret around love play sing cute schoolyard chant occasionally fun older brother mother pregnant look forward big sister partially understanding responsibility might bring meanwhile effort grow natural thing patriotic support country kayoko go far contribute favorite dolly whose material could help build explosive time pass grows older kayoko see affect life around nothing prepare however bleak time soon come base original creator kayoko ebinas real life experience world showa era,1990's,"['drama', 'historical']","kayoko young girl start first grade shes bite crybaby secret around love play sing cute schoolyard chant occasionally fun older brother mother pregnant look forward big sister partially understanding responsibility might bring meanwhile effort grow natural thing patriotic support country kayoko go far contribute favorite dolly whose material could help build explosive time pass grows older kayoko see affect life around nothing prepare however bleak time soon come base original creator kayoko ebinas real life experience world showa era drama, historical 1990's"
2143,Saiyuuki Reload: Burial,take place past offer view saiyuuki quartet formation west first ovum sanzo master also ukoku ovum show first meet goku sanzo third ovum considers event hakkais sin trial decision live gojyos house,2000's,"['action', 'adventure', 'drama', 'fantasy', 'mythology', 'shoujo']","take place past offer view saiyuuki quartet formation west first ovum sanzo master also ukoku ovum show first meet goku sanzo third ovum considers event hakkais sin trial decision live gojyos house action, adventure, drama, fantasy, mythology, shoujo 2000's"
